player_id;list_tournaments
P-45680;2022
P-88921;1998
P-02848;1954
P-90120;1998
P-94563;2018
P-62629;2018
P-99847;2002
P-46325;2006
P-03191;2018
P-24741;1994
P-53270;2018
P-74292;2015
P-12808;1982
P-47384;1958
P-54695;1934
P-38862;2010
P-82516;1966
P-70170;1930
P-22957;1954
P-12030;1974
P-52902;1990
P-67290;2014
P-26509;1995
P-63618;2006
P-68929;2010
P-14114;2019
P-40108;1998
P-35834;1930
P-30741;1930
P-78377;1930
P-25439;2015
P-65733;1986
P-20578;1970
P-82715;1986
P-09889;2022
P-00597;2022
P-68346;1982
P-77356;1982
P-96340;2014
P-58791;2018
P-64577;1950
P-98161;1986
P-91925;2002
P-11648;1930
P-20094;1998
P-35408;2014
P-81979;1954
P-27315;1978
P-73769;1958
P-42160;2018
P-31094;2014
P-25644;1994
P-82967;2018
P-51292;2019
P-04101;1962
P-26352;1982
P-51538;1986
P-29608;1938
P-77330;1986
P-10326;2022
P-22409;1994
P-54406;1938
P-62801;2015
P-25529;1958
P-29143;1982
P-85944;1938
P-44799;2022
P-09888;2002
P-77734;1966
P-53949;1954
P-95008;1930
P-71020;1998
P-33626;2015
P-43292;2015
P-40627;1994
P-85955;1966
P-01674;2006
P-50663;2014
P-82662;2010
P-26247;2015
P-12844;1958
P-27293;1995
P-76565;1950
P-62261;2015
P-53824;1986
P-59388;1986
P-67585;1990
P-70099;1998
P-72033;1970
P-60679;1934
P-61157;1978
P-62660;1938
P-85046;2010
P-32988;1978
P-76498;1994
P-74144;2014
P-95009;2014
P-93882;1966
P-84123;1982
P-37140;2002
P-27059;2010
P-06149;2015
P-78666;1986
P-57787;1978
P-47589;1970
P-35489;2002
P-64968;1982
P-81118;2019
P-44137;2003
P-40292;2018
P-85283;1938
P-27495;1986
P-66286;2014
P-51668;1934
P-50918;1938
P-10499;1994
P-95371;1982
P-03975;1986
P-39411;1954
P-20237;1990
P-14593;2022
P-84534;1998
P-10374;1954
P-60020;1954
P-38647;2014
P-22051;1950
P-33323;1982
P-15282;2022
P-71185;2019
P-08239;1990
P-85355;1998
P-28958;1934
P-10018;1991
P-59575;2007
P-12780;1958
P-95817;1954
P-70869;1978
P-05918;2006
P-01726;1938
P-81185;1934
P-20008;2010
P-64960;1978
P-66554;1990
P-73591;2015
P-80622;2003
P-27801;2019
P-87205;2002
P-64427;1934
P-75265;2015
P-90675;2018
P-81922;1991
P-39860;1994
P-24130;2019
P-52878;1994
P-44064;1999
P-36988;1974
P-62190;2019
P-87532;2019
P-74952;1998
P-13513;1958
P-54240;1954
P-88428;1998
P-05462;1950
P-57494;2018
P-44775;2006
P-39861;2014
P-29008;1990
P-44443;1990
P-54611;1974
P-03282;1982
P-65081;1994
P-94893;2015
P-32668;1978
P-68375;2006
P-49882;2006
P-04224;2010
P-66316;2010
P-81343;1982
P-89652;2019
P-69624;1974
P-26126;2006
P-05779;1998
P-83431;1950
P-12548;2006
P-36764;2010
P-60363;1986
P-27876;1950
P-47067;1986
P-03026;2002
P-92768;1934
P-46674;1982
P-04081;1962
P-31941;2018
P-22963;2019
P-33197;1994
P-76156;1998
P-60365;1938
P-05337;2002
P-22258;1958
P-10738;1998
P-29556;1974
P-48639;1986
P-91984;2019
P-50065;1994
P-42820;2002
P-08544;2006
P-50470;1990
P-77800;1998
P-57722;2006
P-90871;1954
P-06108;2010
P-95346;2015
P-23169;2014
P-22136;1962
P-25958;2003
P-12056;2002
P-47343;2019
P-23151;1991
P-72963;2019
P-06433;1995
P-15123;2014
P-22302;2002
P-25979;1966
P-63835;1970
P-33560;1930
P-47081;2010
P-41102;1974
P-03652;1978
P-92154;1970
P-75209;1950
P-71200;2019
P-90417;1966
P-67839;1990
P-15565;2019
P-57248;2010
P-31736;1982
P-84532;2014
P-94425;1930
P-89889;2010
P-02636;2007
P-51888;1998
P-37281;2015
P-22729;1970
P-28840;1950
P-76506;1978
P-40103;1934
P-55916;1994
P-59590;1978
P-90496;1954
P-11767;2014
P-81643;2002
P-45025;1986
P-89288;1950
P-13809;2006
P-40793;1994
P-77670;1974
P-92800;1994
P-55734;1966
P-51733;2006
P-59950;2018
P-36051;2015
P-46263;2022
P-91855;1958
P-10129;1994
P-56817;2010
P-99207;1990
P-00315;1998
P-16445;1958
P-10493;1982
P-08154;2006
P-32695;2006
P-37586;2006
P-47714;1934
P-66870;2010
P-55099;1978
P-81384;1954
P-04823;1994
P-15428;2006
P-53136;1966
P-06791;1934
P-69244;1930
P-89543;1986
P-03719;1978
P-55762;2014
P-23160;1930
P-33611;2015
P-35045;2015
P-89154;1998
P-94788;1934
P-70903;2010
P-99850;1986
P-95754;2022
P-59033;2022
P-21116;2010
P-12977;2015
P-60872;2018
P-25497;1998
P-41783;1998
P-46895;2006
P-03183;2011
P-52641;1998
P-63176;2006
P-50688;2018
P-79828;1938
P-99212;1982
P-57945;1934
P-46553;2018
P-15199;2018
P-07753;1986
P-91608;1994
P-87702;2002
P-57163;1958
P-19118;2011
P-85899;1999
P-92403;2003
P-62984;1986
P-85472;2018
P-48864;1998
P-97544;1998
P-06024;2014
P-15454;2010
P-52319;2014
P-90074;1995
P-70989;1954
P-63744;2010
P-00300;1958
P-86043;1978
P-83399;1938
P-57763;2018
P-97258;2010
P-47576;2011
P-63553;1938
P-24983;2014
P-40714;1930
P-84927;1938
P-85579;2018
P-53349;1991
P-90842;1986
P-30413;1938
P-24911;1938
P-25037;1954
P-90924;1999
P-50679;2018
P-82670;1978
P-18468;1974
P-90792;1994
P-37758;1934
P-96839;1938
P-89601;2010
P-34977;2006
P-45264;2019
P-15310;1954
P-27545;1982
P-33677;2010
P-72897;2003
P-22209;2002
P-26437;1994
P-67713;1986
P-49343;1978
P-48686;1974
P-14060;2022
P-32037;2015
P-63058;1974
P-21246;2014
P-71237;1991
P-84486;2006
P-15303;2003
P-03998;2011
P-96028;2015
P-56476;1934
P-15173;1986
P-91486;2002
P-79689;1982
P-80000;1982
P-42847;2019
P-81166;1930
P-79103;1974
P-97354;1930
P-59934;1966
P-36262;1950
P-14381;1938
P-10209;1995
P-73933;1998
P-11638;2014
P-15547;1998
P-71107;1990
P-75118;1958
P-88758;1954
P-53623;1995
P-72611;2010
P-81281;1966
P-11158;1950
P-26281;1990
P-96120;1938
P-83259;2007
P-11879;2018
P-23779;2015
P-04882;1982
P-41262;2014
P-93848;1986
P-10577;1990
P-05529;1982
P-09457;1954
P-18281;1958
P-27847;1998
P-92690;2019
P-06424;1930
P-05768;2019
P-62815;1986
P-36826;2002
P-40412;2007
P-72098;2010
P-44723;1950
P-55244;2002
P-67164;2006
P-79215;2014
P-02130;1958
P-12917;1962
P-36010;2011
P-31551;1994
P-02875;2007
P-50527;1938
P-07024;1938
P-14189;2002
P-19044;1938
P-55526;1958
P-93918;1986
P-77966;1958
P-14001;1994
P-98422;1974
P-60142;2015
P-96259;2022
P-21616;1934
P-81440;1934
P-51921;1990
P-37844;1998
P-29822;1954
P-15091;2010
P-99461;2022
P-94477;1966
P-76699;2011
P-31166;2006
P-54224;1982
P-11392;1998
P-95875;1962
P-15041;1954
P-51855;2019
P-94058;1934
P-72363;2022
P-54102;2002
P-72738;1962
P-47694;1974
P-37148;1974
P-00081;1990
P-62128;1982
P-90440;1974
P-49090;2022
P-40684;1982
P-77346;1958
P-04767;2010
P-12745;1934
P-75205;1999
P-85473;2002
P-13416;1986
P-96776;1978
P-56532;2006
P-62376;1930
P-21039;2007
P-29849;1954
P-42540;1966
P-56385;1998
P-76056;1934
P-14115;1950
P-07772;1995
P-91890;1938
P-90361;2014
P-43224;2015
P-74264;1998
P-65495;1982
P-94977;1978
P-06020;1994
P-95267;1986
P-08594;1995
P-36985;1998
P-31907;2002
P-15023;1982
P-27770;1934
P-94731;1986
P-56673;1950
P-28010;2010
P-81978;2011
P-16019;1930
P-20091;1950
P-49962;1982
P-15353;2015
P-99830;2002
P-38372;2018
P-12940;1986
P-05630;2002
P-03723;2002
P-33714;1938
P-37134;1954
P-79204;1958
P-48304;1994
P-55388;2006
P-64663;1966
P-61238;1990
P-57872;1954
P-02102;1970
P-50938;1986
