player_id;goal_keeper
P-99616;1
P-17986;1
P-94440;1
P-95667;1
P-12946;1
P-99636;1
P-20127;1
P-68937;1
P-24251;1
P-81392;1
P-03284;1
P-51933;1
P-06835;1
P-71914;1
P-44581;1
P-02104;1
P-66577;1
P-32449;1
P-19408;1
P-22927;1
P-39837;1
P-17784;1
P-97196;1
P-07141;1
P-86448;1
P-31099;1
P-42549;1
P-86300;1
P-65731;1
P-39010;1
P-28762;1
P-28304;1
P-47982;1
P-82000;1
P-39183;1
P-52552;1
P-08714;1
P-66373;1
P-33838;1
P-81179;1
P-60422;1
P-80826;1
P-49442;1
P-96558;1
P-53803;1
P-95601;1
P-68804;1
P-79585;1
P-61074;1
P-95291;1
P-47156;1
P-26943;1
P-01275;1
P-65033;1
P-34572;1
P-75926;1
P-67127;1
P-11758;1
P-57497;1
P-40837;1
P-86028;1
P-10055;1
P-94838;1
P-10863;1
P-00489;1
P-92129;1
P-99251;1
P-97589;1
P-98768;1
P-05081;1
P-88002;1
P-36957;1
P-14432;1
P-01567;1
P-76922;1
P-61949;1
P-06866;1
P-34573;1
P-05331;1
P-03916;1
P-09954;1
P-60304;1
P-18921;1
P-72028;1
P-70970;1
P-02702;1
P-64761;1
P-42369;1
P-08627;1
P-16610;1
P-88896;1
P-77521;1
P-29138;1
P-62514;1
P-91257;1
P-67041;1
P-60866;1
P-58308;1
P-09774;1
P-52784;1
P-60769;1
P-73008;1
P-24713;1
P-88263;1
P-46594;1
P-18421;1
P-37477;1
P-68800;1
P-57771;1
P-84816;1
P-30107;1
P-30046;1
P-36606;1
P-69864;1
P-70618;1
P-51516;1
P-04639;1
P-52362;1
P-92631;1
P-44980;1
P-87822;1
P-59807;1
P-52528;1
P-04514;1
P-14775;1
P-85818;1
P-89070;1
P-66817;1
P-70815;1
P-47501;1
P-00531;1
P-95773;1
P-29644;1
P-40693;1
P-14305;1
P-67464;1
P-15637;1
P-37090;1
P-86534;1
P-50573;1
P-47065;1
P-07978;1
P-79097;1
P-17302;1
P-04931;1
P-17740;1
P-35773;1
P-72288;1
P-59735;1
P-61561;1
P-39347;1
P-62368;1
P-06115;1
P-94051;1
P-33433;1
P-33683;1
P-61478;1
P-30596;1
P-24116;1
P-98896;1
P-45285;1
P-44334;1
P-15615;1
P-60490;1
P-07985;1
P-70524;1
P-84527;1
P-08689;1
P-24930;1
P-45039;1
P-45712;1
P-99080;1
P-78113;1
P-12835;1
P-81085;1
P-72859;1
P-00232;1
P-80905;1
P-43570;1
P-73100;1
P-23356;1
P-14580;1
P-00855;1
P-60541;1
P-35930;1
P-77881;1
P-36668;1
P-74059;1
P-05695;1
P-15677;1
P-75277;1
P-01560;1
P-83261;1
P-36188;1
P-06049;1
P-77257;1
P-87726;1
P-10244;1
P-19469;1
P-85559;1
P-85204;1
P-85689;1
P-39089;1
P-46260;1
P-14561;1
P-12180;1
P-79242;1
P-92932;1
P-92513;1
P-18004;1
P-81341;1
P-51832;1
P-55784;1
P-44882;1
P-28179;1
P-25714;1
P-24558;1
P-58755;1
P-35183;1
P-77827;1
P-69826;1
P-63937;1
P-66845;1
P-93803;1
P-35622;1
P-09155;1
P-78023;1
P-07171;1
P-46980;1
P-78863;1
P-87458;1
P-17759;1
P-13285;1
P-96627;1
P-39680;1
P-78416;1
P-10247;1
P-59293;1
P-56801;1
P-97803;1
P-81142;1
P-09081;1
